Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.05            1.26             0.00              0.00             1.31               238280.70
0.05            1.19             0.00              0.00             1.24               238281.94
0.22            1.03             0.00              0.00             1.25               238283.19
0.05            1.14             0.00              0.00             1.19               238284.38
0.19            1.03             0.00              0.00             1.22               238285.60
0.05            1.16             0.00              0.00             1.21               238286.81
0.19            1.04             0.00              0.00             1.23               238288.04
0.05            1.11             0.00              0.00             1.16               238289.20
0.19            0.94             0.00              0.00             1.13               238290.33
0.04            0.92             0.00              0.00             0.96               238291.29
0.18            0.82             0.00              0.00             1.00               238292.29
0.05            0.95             0.00              0.00             1.00               238293.29
0.19            2.64             0.00              0.00             2.83               238296.12
0.38            0.89             0.00              0.00             1.27               238297.39
0.05            1.06             0.00              0.00             1.11               238298.50
0.05            0.86             0.00              0.00             0.91               238299.41
0.05            0.89             0.00              0.00             0.94               238300.35
0.05            0.99             0.00              0.00             1.04               238301.39
0.05            6.43             0.00              0.00             6.48               238307.87
2.35            3.41             0.00              0.00             5.76               238313.63
1.41            3.03             0.00              0.00             4.44               238318.07
1.11            3.29             0.00              0.00             4.40               238322.47
1.08            2.94             0.00              0.00             4.02               238326.49
1.09            3.35             0.00              0.00             4.44               238330.93
0.97            3.47             0.00              0.00             4.44               238335.37
1.02            3.19             0.00              0.00             4.21               238339.58
0.85            3.15             0.00              0.00             4.00               238343.58
0.90            3.28             0.00              0.00             4.18               238347.76
0.76            2.89             0.00              0.00             3.65               238351.41
0.74            5.24             0.00              0.00             5.98               238357.39
0.99            2.90             0.00              0.00             3.89               238361.28
0.61            3.17             0.00              0.00             3.78               238365.06
0.35            2.80             0.00              0.00             3.15               238368.21
0.51            2.90             0.00              0.00             3.41               238371.62
0.24            2.98             0.00              0.00             3.22               238374.84
0.21            2.58             0.00              0.00             2.79               238377.63
0.22            3.19             0.00              0.00             3.41               238381.04
0.07            1.23             0.00              0.00             1.30               238382.34
0.20            0.94             0.00              0.00             1.14               238383.48
0.19            1.17             0.00              0.00             1.36               238384.84
0.18            3.08             0.00              0.00             3.26               238388.10
0.88            0.97             0.00              0.00             1.85               238389.95
0.05            1.04             0.00              0.00             1.09               238391.04
0.05            0.85             0.00              0.00             0.90               238391.94
0.05            1.03             0.00              0.00             1.08               238393.02
0.05            1.04             0.00              0.00             1.09               238394.11
0.05            1.07             0.00              0.00             1.12               238395.23
0.05            1.16             0.00              0.00             1.21               238396.44
0.19            1.12             0.00              0.00             1.31               238397.75
0.19            1.12             0.00              0.00             1.31               238399.06
0.20            3.10             0.00              0.00             3.30               238402.36
0.63            0.92             0.00              0.00             1.55               238403.91
0.05            1.08             0.00              0.00             1.13               238405.04
0.05            0.90             0.00              0.00             0.95               238405.99
0.05            1.07             0.00              0.00             1.12               238407.11
0.04            1.18             0.00              0.00             1.22               238408.33
0.21            1.13             0.00              0.00             1.34               238409.67
0.20            1.17             0.00              0.00             1.37               238411.04
0.22            3.32             0.00              0.00             3.54               238414.58
0.63            1.10             0.00              0.00             1.73               238416.31
0.05            0.90             0.00              0.00             0.95               238417.26
