Encoding        Operation        Labels        Reduction        SingleRound        AllRounds  
0.04            1.95             0.00              0.00             1.99               12274574.36
0.04            2.50             0.00              0.00             2.54               12274576.90
0.04            2.33             0.00              0.00             2.37               12274579.27
0.55            2.41             0.00              0.00             2.96               12274582.23
0.55            6.46             0.00              0.00             7.01               12274589.24
1.53            2.16             0.00              0.00             3.69               12274592.93
0.32            2.23             0.00              0.00             2.55               12274595.48
0.30            2.25             0.00              0.00             2.55               12274598.03
0.30            5.80             0.00              0.00             6.10               12274604.13
0.55            1.99             0.00              0.00             2.54               12274606.67
0.04            1.88             0.00              0.00             1.92               12274608.59
0.04            2.79             0.00              0.00             2.83               12274611.42
0.53            2.98             0.00              0.00             3.51               12274614.93
0.54            3.12             0.00              0.00             3.66               12274618.59
0.56            2.78             0.00              0.00             3.34               12274621.93
0.55            5.98             0.00              0.00             6.53               12274628.46
0.58            5.81             0.00              0.00             6.39               12274634.85
0.35            1.69             0.00              0.00             2.04               12274636.89
0.04            6.72             0.00              0.00             6.76               12274643.65
1.53            1.99             0.00              0.00             3.52               12274647.17
0.34            2.41             0.00              0.00             2.75               12274649.92
0.30            6.35             0.00              0.00             6.65               12274656.57
0.84            2.35             0.00              0.00             3.19               12274659.76
0.05            2.55             0.00              0.00             2.60               12274662.36
0.04            2.66             0.00              0.00             2.70               12274665.06
0.04            2.80             0.00              0.00             2.84               12274667.90
0.53            2.88             0.00              0.00             3.41               12274671.31
0.57            3.21             0.00              0.00             3.78               12274675.09
0.56            3.25             0.00              0.00             3.81               12274678.90
0.57            5.93             0.00              0.00             6.50               12274685.40
0.58            1.96             0.00              0.00             2.54               12274687.94
0.30            5.47             0.00              0.00             5.77               12274693.71
0.12            6.59             0.00              0.00             6.71               12274700.42
1.49            8.02             0.00              0.00             9.51               12274709.93
1.11            6.24             0.00              0.00             7.35               12274717.28
1.29            6.34             0.00              0.00             7.63               12274724.91
1.29            6.37             0.00              0.00             7.66               12274732.57
0.56            5.99             0.00              0.00             6.55               12274739.12
1.07            6.86             0.00              0.00             7.93               12274747.05
0.33            5.75             0.00              0.00             6.08               12274753.13
0.33            11.46            0.00              0.00             11.79              12274764.92
0.36            4.29             0.00              0.00             4.65               12274769.57
0.07            2.90             0.00              0.00             2.97               12274772.54
0.31            7.91             0.00              0.00             8.22               12274780.76
0.82            2.18             0.00              0.00             3.00               12274783.76
0.04            2.46             0.00              0.00             2.50               12274786.26
0.04            2.56             0.00              0.00             2.60               12274788.86
0.06            5.05             0.00              0.00             5.11               12274793.97
1.11            5.94             0.00              0.00             7.05               12274801.02
0.81            6.05             0.00              0.00             6.86               12274807.88
0.80            7.32             0.00              0.00             8.12               12274816.00
0.84            5.52             0.00              0.00             6.36               12274822.36
0.33            6.82             0.00              0.00             7.15               12274829.51
0.58            5.39             0.00              0.00             5.97               12274835.48
0.07            5.28             0.00              0.00             5.35               12274840.83
0.08            1.69             0.00              0.00             1.77               12274842.60
0.04            1.67             0.00              0.00             1.71               12274844.31
0.04            1.70             0.00              0.00             1.74               12274846.05
0.04            1.72             0.00              0.00             1.76               12274847.81
0.04            2.16             0.00              0.00             2.20               12274850.01
0.05            2.29             0.00              0.00             2.34               12274852.35
0.04            1.97             0.00              0.00             2.01               12274854.36
0.04            2.32             0.00              0.00             2.36               12274856.72
0.04            2.45             0.00              0.00             2.49               12274859.21
0.04            2.63             0.00              0.00             2.67               12274861.88
0.05            2.30             0.00              0.00             2.35               12274864.23
0.04            2.44             0.00              0.00             2.48               12274866.71
0.05            2.65             0.00              0.00             2.70               12274869.41
0.04            2.42             0.00              0.00             2.46               12274871.87
0.06            2.45             0.00              0.00             2.51               12274874.38
0.04            2.28             0.00              0.00             2.32               12274876.70
0.07            2.10             0.00              0.00             2.17               12274878.87
0.31            1.83             0.00              0.00             2.14               12274881.01
0.04            1.85             0.00              0.00             1.89               12274882.90
0.32            1.61             0.00              0.00             1.93               12274884.83
0.06            2.04             0.00              0.00             2.10               12274886.93
0.29            1.73             0.00              0.00             2.02               12274888.95
0.04            1.65             0.00              0.00             1.69               12274890.64
0.29            1.45             0.00              0.00             1.74               12274892.38
0.04            2.03             0.00              0.00             2.07               12274894.45
0.30            2.08             0.00              0.00             2.38               12274896.83
0.31            1.99             0.00              0.00             2.30               12274899.13
0.30            1.86             0.00              0.00             2.16               12274901.29
0.31            2.04             0.00              0.00             2.35               12274903.64
0.29            6.34             0.00              0.00             6.63               12274910.27
1.32            1.43             0.00              0.00             2.75               12274913.02
0.03            1.80             0.00              0.00             1.83               12274914.85
0.04            1.70             0.00              0.00             1.74               12274916.59
0.04            1.85             0.00              0.00             1.89               12274918.48
0.04            1.80             0.00              0.00             1.84               12274920.32
0.04            1.62             0.00              0.00             1.66               12274921.98
0.04            1.46             0.00              0.00             1.50               12274923.48
0.04            1.86             0.00              0.00             1.90               12274925.38
0.04            1.85             0.00              0.00             1.89               12274927.27
0.04            1.85             0.00              0.00             1.89               12274929.16
0.08            1.87             0.00              0.00             1.95               12274931.11
0.04            1.88             0.00              0.00             1.92               12274933.03
0.04            1.73             0.00              0.00             1.77               12274934.80
0.04            1.90             0.00              0.00             1.94               12274936.74
0.04            1.85             0.00              0.00             1.89               12274938.63
0.07            2.28             0.00              0.00             2.35               12274940.98
0.30            2.00             0.00              0.00             2.30               12274943.28
