Encoding        Operation        Labels        Reduction        SingleRound        AllRounds 
0.04            1.83             0.00              0.00             1.87               9770814.68
0.04            2.45             0.00              0.00             2.49               9770817.17
0.05            2.40             0.00              0.00             2.45               9770819.62
0.04            2.27             0.00              0.00             2.31               9770821.93
0.04            2.45             0.00              0.00             2.49               9770824.42
0.03            1.81             0.00              0.00             1.84               9770826.26
0.05            2.52             0.00              0.00             2.57               9770828.83
0.04            2.52             0.00              0.00             2.56               9770831.39
0.04            2.47             0.00              0.00             2.51               9770833.90
0.04            3.45             0.00              0.00             3.49               9770837.39
0.04            2.11             0.00              0.00             2.15               9770839.54
0.03            2.45             0.00              0.00             2.48               9770842.02
0.03            2.40             0.00              0.00             2.43               9770844.45
0.07            2.50             0.00              0.00             2.57               9770847.02
0.35            2.34             0.00              0.00             2.69               9770849.71
0.04            3.67             0.00              0.00             3.71               9770853.42
0.37            2.51             0.00              0.00             2.88               9770856.30
0.03            2.93             0.00              0.00             2.96               9770859.26
0.35            2.50             0.00              0.00             2.85               9770862.11
0.03            2.36             0.00              0.00             2.39               9770864.50
0.35            2.01             0.00              0.00             2.36               9770866.86
0.04            2.16             0.00              0.00             2.20               9770869.06
0.35            1.82             0.00              0.00             2.17               9770871.23
0.03            2.77             0.00              0.00             2.80               9770874.03
0.36            2.50             0.00              0.00             2.86               9770876.89
0.04            2.95             0.00              0.00             2.99               9770879.88
0.37            2.59             0.00              0.00             2.96               9770882.84
0.04            2.95             0.00              0.00             2.99               9770885.83
0.32            2.65             0.00              0.00             2.97               9770888.80
0.04            2.87             0.00              0.00             2.91               9770891.71
0.33            2.76             0.00              0.00             3.09               9770894.80
0.33            1.91             0.00              0.00             2.24               9770897.04
0.32            3.00             0.00              0.00             3.32               9770900.36
0.34            7.31             0.00              0.00             7.65               9770908.01
0.65            2.71             0.00              0.00             3.36               9770911.37
0.04            2.51             0.00              0.00             2.55               9770913.92
0.04            2.67             0.00              0.00             2.71               9770916.63
0.04            2.63             0.00              0.00             2.67               9770919.30
0.03            2.44             0.00              0.00             2.47               9770921.77
0.04            2.57             0.00              0.00             2.61               9770924.38
0.04            1.73             0.00              0.00             1.77               9770926.15
0.04            2.53             0.00              0.00             2.57               9770928.72
0.04            2.87             0.00              0.00             2.91               9770931.63
0.32            2.58             0.00              0.00             2.90               9770934.53
0.04            2.97             0.00              0.00             3.01               9770937.54
0.34            2.65             0.00              0.00             2.99               9770940.53
0.04            3.03             0.00              0.00             3.07               9770943.60
0.33            2.18             0.00              0.00             2.51               9770946.11
0.55            2.54             0.00              0.00             3.09               9770949.20
0.34            3.10             0.00              0.00             3.44               9770952.64
0.36            2.93             0.00              0.00             3.29               9770955.93
0.35            2.89             0.00              0.00             3.24               9770959.17
0.33            2.76             0.00              0.00             3.09               9770962.26
0.34            3.10             0.00              0.00             3.44               9770965.70
0.34            2.32             0.00              0.00             2.66               9770968.36
0.36            2.70             0.00              0.00             3.06               9770971.42
0.37            8.13             0.00              0.00             8.50               9770979.92
0.41            2.70             0.00              0.00             3.11               9770983.03
0.04            2.37             0.00              0.00             2.41               9770985.44
0.04            1.89             0.00              0.00             1.93               9770987.37
0.04            2.72             0.00              0.00             2.76               9770990.13
0.04            2.42             0.00              0.00             2.46               9770992.59
0.03            2.55             0.00              0.00             2.58               9770995.17
0.03            2.87             0.00              0.00             2.90               9770998.07
0.04            2.58             0.00              0.00             2.62               9771000.69
0.04            2.25             0.00              0.00             2.29               9771002.98
0.04            2.78             0.00              0.00             2.82               9771005.80
0.03            2.82             0.00              0.00             2.85               9771008.65
0.04            2.01             0.00              0.00             2.05               9771010.70
0.05            2.39             0.00              0.00             2.44               9771013.14
0.32            2.14             0.00              0.00             2.46               9771015.60
0.04            2.68             0.00              0.00             2.72               9771018.32
0.34            2.36             0.00              0.00             2.70               9771021.02
0.04            2.57             0.00              0.00             2.61               9771023.63
0.32            2.24             0.00              0.00             2.56               9771026.19
0.05            2.74             0.00              0.00             2.79               9771028.98
0.35            2.42             0.00              0.00             2.77               9771031.75
0.04            3.01             0.00              0.00             3.05               9771034.80
0.34            2.79             0.00              0.00             3.13               9771037.93
0.04            2.78             0.00              0.00             2.82               9771040.75
0.32            2.48             0.00              0.00             2.80               9771043.55
0.04            2.16             0.00              0.00             2.20               9771045.75
0.33            1.86             0.00              0.00             2.19               9771047.94
0.04            2.67             0.00              0.00             2.71               9771050.65
0.36            2.31             0.00              0.00             2.67               9771053.32
0.04            2.96             0.00              0.00             3.00               9771056.32
0.37            2.70             0.00              0.00             3.07               9771059.39
0.04            2.78             0.00              0.00             2.82               9771062.21
0.34            2.45             0.00              0.00             2.79               9771065.00
0.04            2.19             0.00              0.00             2.23               9771067.23
0.33            1.77             0.00              0.00             2.10               9771069.33
0.04            7.96             0.00              0.00             8.00               9771077.33
0.68            2.22             0.00              0.00             2.90               9771080.23
0.04            2.47             0.00              0.00             2.51               9771082.74
0.04            2.27             0.00              0.00             2.31               9771085.05
0.04            2.43             0.00              0.00             2.47               9771087.52
0.05            2.07             0.00              0.00             2.12               9771089.64
0.33            1.80             0.00              0.00             2.13               9771091.77
0.05            2.71             0.00              0.00             2.76               9771094.53
0.33            2.52             0.00              0.00             2.85               9771097.38
0.34            2.55             0.00              0.00             2.89               9771100.27
0.37            2.63             0.00              0.00             3.00               9771103.27
0.33            2.32             0.00              0.00             2.65               9771105.92
0.33            2.61             0.00              0.00             2.94               9771108.86
0.32            1.92             0.00              0.00             2.24               9771111.10
0.33            2.05             0.00              0.00             2.38               9771113.48
0.32            2.48             0.00              0.00             2.80               9771116.28
0.33            2.71             0.00              0.00             3.04               9771119.32
0.33            6.80             0.00              0.00             7.13               9771126.45
0.37            2.34             0.00              0.00             2.71               9771129.16
0.04            1.71             0.00              0.00             1.75               9771130.91
0.04            2.11             0.00              0.00             2.15               9771133.06
0.04            2.42             0.00              0.00             2.46               9771135.52
0.04            2.27             0.00              0.00             2.31               9771137.83
0.04            2.38             0.00              0.00             2.42               9771140.25
0.04            2.36             0.00              0.00             2.40               9771142.65
0.03            2.34             0.00              0.00             2.37               9771145.02
0.04            2.26             0.00              0.00             2.30               9771147.32
0.03            2.26             0.00              0.00             2.29               9771149.61
0.04            1.86             0.00              0.00             1.90               9771151.51
0.04            2.45             0.00              0.00             2.49               9771154.00
0.07            2.90             0.00              0.00             2.97               9771156.97
0.33            2.57             0.00              0.00             2.90               9771159.87
0.04            2.51             0.00              0.00             2.55               9771162.42
0.34            2.19             0.00              0.00             2.53               9771164.95
0.03            2.81             0.00              0.00             2.84               9771167.79
0.32            2.52             0.00              0.00             2.84               9771170.63
0.04            2.93             0.00              0.00             2.97               9771173.60
0.33            2.53             0.00              0.00             2.86               9771176.46
0.04            2.80             0.00              0.00             2.84               9771179.30
0.37            2.59             0.00              0.00             2.96               9771182.26
0.04            2.25             0.00              0.00             2.29               9771184.55
0.32            1.97             0.00              0.00             2.29               9771186.84
