Policy	A	B
106	3.61	1.07
107	3.61	0.91
108	3.61	0.91
109	3.62	1.25
110	3.62	1.30
111	3.63	1.26
112	3.63	1.53
113	3.64	1.23
114	3.64	1.11
115	3.64	1.20
116	3.65	0.92
117	3.65	1.34
118	3.66	1.21
119	3.66	1.22
120	3.66	1.31
121	3.66	0.79
122	3.66	1.22
123	3.67	1.13
124	3.67	1.46
125	3.68	0.92
126	3.68	1.17
127	3.68	1.14
128	3.68	1.37
129	3.68	1.23
130	3.68	1.37
131	3.68	1.29
132	3.68	1.30
133	3.68	1.26
134	3.70	1.15
135	3.70	1.31
136	3.71	1.25
137	3.71	1.31
138	3.71	1.41
139	3.71	1.41
140	3.72	1.46
141	3.73	1.30
142	3.73	0.95
143	3.74	1.26
144	3.74	1.43
145	3.75	1.42
146	3.78	1.06
147	3.78	1.38
148	3.80	0.91
149	3.81	1.21
150	3.81	1.45
151	3.82	1.09
152	3.84	1.25
153	3.87	1.33
154	3.87	1.64
155	3.88	1.46
156	3.89	1.02
157	3.91	1.32
158	3.91	1.27
159	3.91	1.55
160	3.91	1.29
161	3.92	0.73
162	3.92	1.57
163	3.92	1.31
164	3.93	1.23
165	3.95	1.36
166	3.95	1.42
167	3.96	1.44
168	3.97	1.04
169	3.98	1.25
170	3.98	1.60
171	4.00	1.02
172	4.01	1.17
173	4.01	1.20
174	4.01	1.69
175	4.03	1.46
176	4.07	1.10
177	4.07	1.36
178	4.07	1.50
179	4.08	0.85
180	4.08	1.29
181	4.09	1.72
182	4.10	1.15
183	4.10	1.56
184	4.11	1.61
185	4.12	1.21
186	4.12	1.29
187	4.16	1.45
188	4.18	1.16
189	4.21	0.90
190	4.22	1.77
191	4.24	1.47
192	4.27	1.08
193	4.27	1.03
194	4.29	1.80
195	4.31	1.80
196	4.33	1.40
197	4.35	0.81
198	4.35	1.21
199	4.36	1.68
200	4.40	1.27
201	4.46	1.59
202	4.47	1.68
203	4.49	1.33
204	4.51	1.34
205	4.51	1.78
206	4.54	2.24
207	4.55	1.05
208	4.55	1.90
209	4.56	1.76
210	4.56	1.37
211	4.58	1.15
212	4.64	1.51
213	4.67	1.98
214	4.70	1.92
215	4.70	1.97
216	4.89	1.34
217	4.91	1.54
218	4.91	1.48
219	4.97	0.99
220	5.02	1.29
221	5.02	1.22
222	5.08	2.29
223	5.14	1.55
224	5.18	1.60
225	5.27	1.81
226	5.28	0.87
227	5.44	1.14
228	5.47	2.51
229	5.58	2.32
230	5.61	1.47
231	5.74	1.50
232	5.78	1.25
233	5.81	2.96
234	6.02	1.44
235	6.06	1.16
236	6.06	2.04
237	6.11	1.85
238	6.20	1.64
239	6.30	2.13
240	6.40	0.81
241	6.62	1.86
242	6.65	2.39
243	6.65	0.95
244	6.67	2.06
245	6.69	0.93
246	6.81	2.44
247	6.81	0.69
248	6.85	0.90
249	6.89	1.73
250	6.93	1.68
251	6.94	1.02
252	6.96	1.17
253	7.00	1.09
254	7.04	1.28
255	7.07	1.19
256	7.08	2.82
257	7.09	1.51
258	7.10	1.35
259	7.14	1.21
260	7.15	1.23
261	7.21	1.52
262	7.22	1.03
263	7.22	1.39
264	7.24	1.19
265	7.27	1.13
266	7.29	1.17
267	7.29	1.29
268	7.30	2.26
269	7.31	1.24
270	7.38	1.20
271	7.38	2.30
272	7.39	1.24
273	7.39	1.28
274	7.39	1.40
275	7.39	1.24
276	7.42	1.42
277	7.49	1.18
278	7.49	1.46
279	7.51	0.49
280	7.53	1.15
281	7.53	1.41
282	7.54	1.15
283	7.54	1.05
284	7.55	1.21
285	7.57	1.42
286	7.58	1.60
287	7.58	1.23
288	7.58	1.31
289	7.59	1.57
290	7.59	1.34
291	7.61	1.53
292	7.62	1.26
293	7.63	1.47
294	7.63	1.59
295	7.64	1.20
296	7.64	3.04
297	7.66	2.93
298	7.67	0.83
299	7.70	1.47
300	7.71	1.12
301	7.71	1.71
302	7.73	1.70
303	7.78	1.77
304	7.83	1.38
305	7.84	1.59
306	7.84	1.28
307	7.85	1.78
308	7.85	1.61
309	7.86	1.55
310	7.87	1.76
311	7.88	1.52
312	7.91	1.45
313	7.93	1.56
314	7.93	1.82
315	7.98	1.82
316	8.00	1.54
317	8.04	1.66
318	8.12	1.34
