Policy	A	B
286	0.96	0.79
287	0.96	0.08
288	0.96	0.77
289	0.96	0.79
290	0.96	0.83
291	0.97	0.93
292	0.97	0.86
293	0.97	0.80
294	0.97	0.84
295	0.97	0.84
296	0.97	0.78
297	0.97	0.84
298	0.97	0.79
299	0.97	0.78
300	0.97	0.87
301	0.97	0.96
302	0.97	0.79
303	0.97	0.78
304	0.97	0.80
305	0.97	0.80
306	0.97	0.80
307	0.97	0.80
308	0.97	1.05
309	0.97	0.79
310	0.97	0.81
311	0.97	0.83
312	0.97	0.80
313	0.97	0.78
314	0.98	0.97
315	0.98	0.84
316	0.98	0.93
317	0.98	0.78
318	0.98	0.86
319	0.98	0.81
320	0.98	0.79
321	0.98	0.84
322	0.98	0.96
323	0.98	0.78
324	0.98	0.76
325	0.98	0.81
326	0.98	0.77
327	0.98	0.82
328	0.98	0.78
329	0.98	0.83
330	0.98	0.80
331	0.98	0.81
332	0.98	0.83
333	0.98	0.77
334	0.98	0.80
335	0.98	0.80
336	0.98	0.94
337	0.99	1.02
338	0.99	0.79
339	0.99	0.84
340	0.99	0.79
341	1.00	0.80
342	1.00	0.78
343	1.00	0.81
344	1.00	0.79
345	1.00	0.81
346	1.01	0.82
347	1.01	0.83
348	1.01	0.77
349	1.01	0.78
350	1.02	0.78
351	1.03	0.79
352	1.04	1.07
353	1.04	0.78
354	1.05	0.89
355	1.06	0.79
356	1.09	0.77
357	1.09	0.81
358	1.10	0.91
359	1.11	0.90
360	1.11	0.90
361	1.11	0.90
362	1.14	1.09
363	1.15	0.92
364	1.15	0.84
365	1.16	0.80
366	1.17	0.99
367	1.21	0.97
368	1.22	0.99
369	1.23	1.02
370	1.23	0.95
371	1.23	1.00
372	1.23	0.99
373	1.24	0.97
374	1.24	1.18
375	1.24	1.00
376	1.24	1.01
377	1.25	1.02
378	1.25	0.99
379	1.25	0.99
380	1.26	1.00
381	1.28	1.12
382	1.30	1.09
383	1.34	1.27
384	1.37	1.07
385	1.37	1.02
386	1.41	1.08
387	1.45	1.19
388	1.45	1.17
389	1.47	1.31
390	1.47	1.17
391	1.48	1.19
392	1.49	1.16
393	1.49	1.18
394	1.49	1.18
395	1.49	1.19
396	1.50	1.20
397	1.50	1.19
398	1.50	1.25
399	1.50	1.18
400	1.50	1.17
401	1.50	1.20
402	1.51	1.20
403	1.51	1.17
404	1.51	1.18
405	1.51	1.18
406	1.51	1.17
407	1.51	1.21
408	1.51	1.18
409	1.51	1.28
410	1.51	1.19
411	1.52	1.18
412	1.52	1.19
413	1.52	1.19
414	1.52	1.20
415	1.52	1.19
416	1.52	1.18
417	1.52	1.18
418	1.53	1.23
419	1.53	1.22
420	1.55	1.18
421	1.61	1.27
422	1.64	1.23
423	1.68	1.50
424	1.68	1.36
425	1.69	1.29
426	1.69	1.37
427	1.70	1.37
428	1.71	1.32
429	1.73	1.37
430	1.73	1.37
431	1.73	1.50
432	1.74	1.64
433	1.74	1.39
434	1.74	1.39
435	1.74	1.39
436	1.75	1.40
437	1.75	1.42
438	1.75	1.34
439	1.75	1.37
440	1.75	1.52
441	1.75	1.35
442	1.76	1.38
443	1.77	1.37
444	1.83	1.39
445	1.88	1.52
446	1.98	1.54
447	1.99	1.79
448	1.99	1.53
449	1.99	1.81
450	2.00	1.53
451	2.00	1.67
452	2.08	1.52
453	2.11	1.45
454	2.11	1.49
455	2.16	0.08
456	2.19	1.64
457	2.23	1.54
458	2.24	1.60
459	2.26	1.75
460	2.27	1.70
461	2.29	1.45
462	2.29	1.65
463	2.30	1.77
464	2.32	1.65
465	2.38	1.63
466	2.38	1.87
467	2.43	1.75
468	2.46	1.74
469	2.51	2.09
470	2.52	1.75
471	2.61	1.92
472	2.72	1.92
473	2.73	1.87
474	2.76	1.84
475	2.83	1.84
476	2.84	2.01
477	2.92	1.98
478	2.99	2.05
479	3.28	2.27
480	3.33	3.25
481	3.34	2.49
482	3.34	2.22
483	3.42	2.36
484	3.51	2.32
485	3.51	2.39
486	3.54	2.44
487	4.10	3.02
488	4.37	2.82
489	4.41	2.83
490	4.49	3.01
491	4.55	2.81
492	4.96	3.10
493	5.02	3.22
494	5.08	3.12
495	5.40	3.83
496	5.45	3.43
497	5.85	3.48
498	5.85	3.53
499	6.61	4.00
500	6.71	4.09
501	9.54	1.50
502	11.96	6.61
503	18.65	10.09
504	22.89	11.41
505	150.72	18.14
