Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.01            0.00          0.09             0.00             0.10               27403.59 
0.02            0.00          0.09             0.00             0.11               27403.70 
0.01            0.00          0.08             0.00             0.09               27403.79 
0.01            0.00          0.08             0.00             0.09               27403.88 
0.02            0.00          0.08             0.00             0.10               27403.98 
0.01            0.00          0.09             0.00             0.10               27404.08 
0.01            0.00          0.09             0.00             0.10               27404.18 
0.01            0.00          0.09             0.00             0.10               27404.28 
0.01            0.00          0.08             0.00             0.09               27404.37 
0.01            0.00          0.09             0.00             0.10               27404.47 
0.03            0.00          0.09             0.00             0.12               27404.59 
0.01            0.00          0.09             0.00             0.10               27404.69 
0.02            0.00          0.08             0.00             0.10               27404.79 
0.01            0.00          0.09             0.00             0.10               27404.89 
0.01            0.00          0.09             0.00             0.10               27404.99 
0.01            0.00          0.09             0.00             0.10               27405.09 
0.01            0.00          0.09             0.00             0.10               27405.19 
0.01            0.00          0.08             0.00             0.09               27405.28 
0.01            0.00          0.08             0.00             0.09               27405.37 
0.01            0.00          0.09             0.00             0.10               27405.47 
0.03            0.00          0.09             0.00             0.12               27405.59 
0.01            0.00          0.09             0.00             0.10               27405.69 
0.01            0.00          0.09             0.00             0.10               27405.79 
0.02            0.00          0.99             0.00             1.01               27406.80 
0.02            0.00          0.08             0.00             0.10               27406.90 
0.02            0.00          0.08             0.00             0.10               27407.00 
0.02            0.00          0.09             0.00             0.11               27407.11 
0.01            0.00          0.08             0.00             0.09               27407.20 
0.01            0.00          0.09             0.00             0.10               27407.30 
0.01            0.00          0.10             0.00             0.11               27407.41 
0.02            0.00          0.09             0.00             0.11               27407.52 
0.01            0.00          0.11             0.00             0.12               27407.64 
0.01            0.00          0.94             0.00             0.95               27408.59 
0.02            0.00          0.08             0.00             0.10               27408.69 
0.01            0.00          0.09             0.00             0.10               27408.79 
0.01            0.00          0.08             0.00             0.09               27408.88 
0.01            0.00          0.08             0.00             0.09               27408.97 
0.01            0.00          0.09             0.00             0.10               27409.07 
0.01            0.00          0.09             0.00             0.10               27409.17 
0.01            0.00          0.09             0.00             0.10               27409.27 
0.01            0.00          0.10             0.00             0.11               27409.38 
0.02            0.00          0.09             0.00             0.11               27409.49 
0.01            0.00          0.08             0.00             0.09               27409.58 
0.01            0.00          0.08             0.00             0.09               27409.67 
0.02            0.00          0.09             0.00             0.11               27409.78 
0.01            0.00          0.09             0.00             0.10               27409.88 
0.02            0.00          0.09             0.00             0.11               27409.99 
0.02            0.00          0.09             0.00             0.11               27410.10 
0.02            0.00          0.09             0.00             0.11               27410.21 
0.01            0.00          0.09             0.00             0.10               27410.31 
0.02            0.00          1.01             0.00             1.03               27411.34 
0.02            0.00          0.09             0.00             0.11               27411.45 
0.02            0.00          0.10             0.00             0.12               27411.57 
0.01            0.00          0.08             0.00             0.09               27411.66 
0.02            0.00          0.08             0.00             0.10               27411.76 
0.01            0.00          0.07             0.00             0.08               27411.84 
0.01            0.00          0.07             0.00             0.08               27411.92 
0.01            0.00          0.07             0.00             0.08               27412.00 
0.01            0.00          0.08             0.00             0.09               27412.09 
0.01            0.00          0.08             0.00             0.09               27412.18 
0.01            0.00          0.08             0.00             0.09               27412.27 
0.01            0.00          0.07             0.00             0.08               27412.35 
0.02            0.00          0.08             0.00             0.10               27412.45 
0.01            0.00          0.08             0.00             0.09               27412.54 
0.01            0.00          0.07             0.00             0.08               27412.62 
0.02            0.00          0.07             0.00             0.09               27412.71 
0.02            0.00          0.94             0.00             0.96               27413.67 
0.02            0.00          0.09             0.00             0.11               27413.78 
0.02            0.00          0.08             0.00             0.10               27413.88 
0.01            0.00          0.08             0.00             0.09               27413.97 
0.01            0.00          0.09             0.00             0.10               27414.07 
