NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	21	21	32	2.92	1.97	0.67	0.28	0.00
2	8	8	20	2.83	1.97	0.66	0.20	0.00
1	2	2	12	1.80	1.44	0.26	0.10	0.00
1	12	12	20	1.94	1.29	0.44	0.20	0.00
2	8	8	20	2.58	1.72	0.67	0.20	0.00
2	8	8	20	2.66	1.80	0.66	0.19	0.00
3	8	8	40	3.03	1.40	1.35	0.29	0.00
4	25	25	72	5.24	2.95	1.77	0.53	0.00
2	8	8	20	1.64	0.79	0.65	0.19	0.00
1	45	45	64	2.77	0.75	1.45	0.56	0.00
1	12	12	20	1.71	1.08	0.44	0.20	0.00
1	12	12	20	1.62	1.00	0.43	0.19	0.00
2	8	8	20	2.04	1.19	0.65	0.19	0.00
2	8	8	20	2.61	1.77	0.65	0.19	0.00
1	4	4	18	1.81	1.29	0.40	0.13	0.00
1	12	12	20	1.98	1.33	0.45	0.19	0.00
2	14	14	32	2.73	1.42	1.04	0.27	0.00
2	8	8	20	2.12	1.26	0.66	0.20	0.00
2	14	14	32	2.88	1.57	1.03	0.28	0.00
2	8	8	20	2.18	1.31	0.67	0.20	0.00
1	2	2	12	1.96	1.59	0.27	0.11	0.00
1	21	21	32	3.65	2.66	0.69	0.30	0.00
2	8	8	20	2.85	1.98	0.67	0.20	0.00
2	8	8	20	1.99	1.14	0.65	0.19	0.00
1	45	45	128	4.46	1.10	2.81	0.56	0.00
1	18	18	56	2.13	0.76	1.12	0.25	0.00
1	9	9	32	1.78	1.02	0.61	0.15	0.00
1	9	9	32	1.70	0.94	0.61	0.16	0.00
1	15	15	48	2.03	0.84	0.96	0.22	0.00
1	12	12	40	1.85	0.83	0.82	0.21	0.00
1	12	12	40	1.75	0.77	0.79	0.19	0.00
1	18	18	56	2.09	0.74	1.10	0.25	0.00
1	15	15	48	1.83	0.65	0.96	0.22	0.00
1	21	21	64	2.26	0.84	1.17	0.25	0.00
1	15	15	48	1.80	0.64	0.95	0.22	0.00
1	9	9	32	1.72	0.94	0.63	0.16	0.00
1	36	36	104	3.45	0.95	2.08	0.41	0.00
1	18	18	56	2.19	0.85	1.10	0.24	0.00
1	12	12	40	1.77	0.75	0.81	0.20	0.00
1	18	18	56	2.07	0.75	1.08	0.24	0.00
1	15	15	48	1.88	0.75	0.92	0.21	0.00
1	15	15	48	1.98	0.80	0.96	0.22	0.00
1	15	15	48	1.80	0.71	0.89	0.21	0.00
1	18	18	56	2.12	0.80	1.08	0.23	0.00
1	15	15	48	2.11	0.93	0.96	0.22	0.00
1	15	15	48	1.97	0.81	0.94	0.22	0.00
1	15	15	48	1.80	0.64	0.94	0.22	0.00
1	9	9	32	1.79	1.00	0.62	0.17	0.00
1	21	21	64	2.29	0.79	1.24	0.26	0.00
1	15	15	48	1.90	0.70	0.97	0.23	0.00
1	12	12	40	1.66	0.66	0.80	0.20	0.00
1	15	15	48	1.91	0.79	0.91	0.21	0.00
1	9	9	32	1.72	0.96	0.60	0.16	0.00
1	15	15	48	2.07	0.87	0.97	0.23	0.00
1	9	9	32	1.76	1.00	0.61	0.16	0.00
1	15	15	48	1.93	0.74	0.96	0.22	0.00
1	15	15	48	1.93	0.74	0.97	0.22	0.00
1	18	18	56	2.21	0.88	1.10	0.24	0.00
1	33	33	96	3.37	0.92	2.03	0.42	0.00
1	9	9	32	1.61	0.83	0.62	0.16	0.00
1	12	12	40	1.65	0.68	0.78	0.19	0.00
1	15	15	48	2.00	0.84	0.94	0.22	0.00
1	12	12	40	1.88	0.88	0.81	0.19	0.00
1	12	12	40	1.69	0.72	0.78	0.19	0.00
1	15	15	48	1.99	0.85	0.92	0.21	0.00
1	12	12	40	1.73	0.74	0.79	0.20	0.00
1	15	15	48	1.87	0.72	0.94	0.22	0.00
1	12	12	40	1.64	0.65	0.79	0.19	0.00
1	15	15	48	1.91	0.72	0.97	0.22	0.00
1	18	18	56	2.25	0.90	1.10	0.25	0.00
1	27	27	80	3.23	1.15	1.71	0.37	0.00
1	21	21	64	3.17	1.66	1.25	0.27	0.00
1	18	18	56	2.31	1.00	1.07	0.24	0.00
1	36	36	104	3.67	1.00	2.22	0.44	0.00
2	46	46	154	8.66	2.83	5.11	0.71	0.00
1	18	18	56	2.23	0.88	1.11	0.24	0.00
1	18	18	56	2.79	1.42	1.12	0.25	0.00
1	15	15	48	2.09	0.92	0.95	0.22	0.00
1	12	12	40	2.25	1.25	0.80	0.19	0.00
1	12	12	40	1.76	0.77	0.79	0.20	0.00
1	21	21	64	2.41	0.88	1.26	0.27	0.00
1	15	15	48	1.95	0.78	0.95	0.22	0.00
1	2	2	12	1.91	1.56	0.25	0.10	0.00
1	10	10	36	3.24	2.30	0.76	0.18	0.00
1	12	12	40	1.95	0.96	0.80	0.19	0.00
2	8	8	20	2.31	1.47	0.66	0.19	0.00
1	15	15	48	1.78	0.61	0.95	0.22	0.00
1	18	18	56	2.28	0.99	1.05	0.24	0.00
1	18	18	56	2.25	0.87	1.13	0.25	0.00
1	15	15	48	2.02	0.85	0.95	0.22	0.00
1	21	21	64	2.35	0.83	1.25	0.27	0.00
1	15	15	48	2.24	1.07	0.95	0.22	0.00
1	15	15	48	2.14	0.96	0.96	0.22	0.00
1	9	9	32	2.64	1.88	0.61	0.16	0.00
1	15	15	48	2.16	1.00	0.95	0.22	0.00
1	15	15	48	2.71	1.53	0.96	0.22	0.00
1	18	18	56	2.29	0.97	1.08	0.24	0.00
1	0	0	1	3.08	2.93	0.15	0.00	0.00
1	12	12	40	2.07	1.07	0.81	0.19	0.00
1	18	18	56	2.52	1.16	1.12	0.24	0.00
1	0	0	1	2.19	2.04	0.15	0.00	0.00
1	15	15	48	2.04	0.90	0.92	0.21	0.00
1	24	24	72	2.71	0.88	1.50	0.33	0.00
1	9	9	32	1.90	1.13	0.62	0.16	0.00
1	15	15	48	1.90	0.75	0.93	0.22	0.00
2	8	8	20	2.02	1.22	0.63	0.18	0.00
1	15	15	48	1.99	0.83	0.94	0.22	0.00
1	18	18	56	2.75	1.43	1.09	0.24	0.00
1	2	2	12	1.70	1.37	0.24	0.10	0.00
1	21	21	32	2.30	1.38	0.65	0.27	0.00
1	2	2	12	1.71	1.37	0.24	0.10	0.00
1	12	12	40	1.56	0.55	0.81	0.19	0.00
3	14	14	70	5.59	2.85	2.39	0.35	0.00
1	36	36	104	3.46	0.66	2.33	0.48	0.00
1	2	2	6	1.43	1.18	0.15	0.10	0.00
2	8	8	20	2.04	1.20	0.65	0.18	0.00
2	8	8	20	2.07	1.24	0.64	0.19	0.00
2	8	8	20	2.38	1.53	0.65	0.19	0.00
2	8	8	20	1.96	1.13	0.65	0.19	0.00
1	4	4	9	1.31	0.97	0.22	0.12	0.00
2	8	8	20	1.87	1.04	0.65	0.19	0.00
1	4	4	9	1.31	0.96	0.22	0.12	0.00
1	4	4	9	1.27	0.95	0.21	0.11	0.00
1	4	4	9	1.49	1.16	0.21	0.11	0.00
2	8	8	20	2.32	1.50	0.64	0.18	0.00
2	8	8	20	2.18	1.34	0.65	0.19	0.00
2	8	8	20	2.01	1.16	0.65	0.20	0.00
2	8	8	20	2.18	1.33	0.66	0.19	0.00
2	8	8	20	1.83	0.98	0.66	0.19	0.00
1	10	10	36	3.24	2.26	0.79	0.19	0.00
1	3	3	16	2.03	1.60	0.32	0.12	0.00
2	8	8	20	2.04	1.19	0.65	0.19	0.00
